11,Norman F***ing Rockwell!,Lana Del Rey,"Jack Antonoff & Lana Del Rey, producers; Jack Antonoff & Laura Sisk, engineers/mixers; Jack Antonoff & Lana Del Rey, songwriters; Chris Gehringer, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lana%2BDel%2BRey/Lana%2520Del%2520Rey_1_1_1581552089.jpg?itok=a-RXRsSr
12,"thank u, next",Ariana Grande,"Tommy Brown, Ilya, Max Martin & Victoria Monet, producers; Serban Ghenea, Sam Holland & Brendan Morawski, engineers/mixers; Tommy Brown, Ariana Grande, Savan Kotecha, Max Martin, Victoria Monet, Tayla Parx & Ilya Salmanzadeh, songwriters; Randy Merrill, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ariana%2BGrande/Ariana%2520Grande_1_1_1578384678.jpg?itok=Amj90j13
13,I Used To Know Her,H.E.R.,"David ""Swagg R'Celious"" Harris, H.E.R., Walter Jones & Jeff Robinson, producers; Miki Tsutsumi, engineer/mixer; Sam Ashworth, Jeff “Gitty” Gitelman, David ""Swagg R'Celious"" Harris & H.E.R., songwriters; Dave Kutch, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/H.E.R./H.E.R._1_1_1594631035.jpg?itok=ClJe-2MN
14,7,Lil Nas X,"Joe Grasso, engineer/mixer; Montero Lamar Hill, songwriter; Eric Lagg, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Montero%2BLamar%2BHill/Lil%2520Nas%2520X_1_1_1581656760.jpg?itok=_YR6dOjI
15,Cuz I Love You (Deluxe),Lizzo,"Ricky Reed, producer; Manny Marroquin & Ethan Shumaker, engineers/mixers; Eric Frederic & Melissa Jefferson, songwriters; Chris Gehringer, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ricky%2BReed/Ricky%2520Reed_1_1_1581552716.jpg?itok=Qw0BFFJ4
16,Father Of The Bride,Vampire Weekend,"Ezra Koenig & Ariel Rechtshaid, producers; John DeBold, Chris Kasych, Takemasa Kosaka, Ariel Rechtshaid & Hiroya Takayama, engineers/mixers; Ezra Koenig, songwriter; Emily Lazar, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Vampire%2BWeekend/Vampire%2520Weekend_1_1_1578387474.jpg?itok=mAj-5E-g
17,Always Remember Us This Way,"Natalie Hemby, Lady Gaga, Hillary Lindsey & Lori McKenna, songwriters (Lady Gaga)","Natalie Hemby, Lady Gaga, Hillary Lindsey & Lori McKenna, songwriters (Lady Gaga)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Natalie%2BHemby/Natalie%2520Hemby_1_1_1591113039.jpg?itok=AKF_O3V1
18,Bring My Flowers Now,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker, songwriters (Tanya Tucker)","Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker, songwriters (Tanya Tucker)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Brandi%2BCarlile/Brandi%2520Carlile_1_1_1597247043.jpg?itok=5265JEVE
19,Lover,"Taylor Swift, songwriter (Taylor Swift)","Taylor Swift, songwriter (Taylor Swift)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Taylor%2BSwift/Taylor%2520Swift_1_1_1588259933.jpg?itok=faoR37HC
20,Norman F***ing Rockwell,"Jack Antonoff & Lana Del Rey, songwriters (Lana Del Rey)","Jack Antonoff & Lana Del Rey, songwriters (Lana Del Rey)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/jack.png?itok=qPWzu57c
21,Someone You Loved,"Tom Barnes, Lewis Capaldi, Pete Kelleher, Benjamin Kohn & Sam Roman, songwriters (Lewis Capaldi)","Tom Barnes, Lewis Capaldi, Pete Kelleher, Benjamin Kohn & Sam Roman, songwriters (Lewis Capaldi)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lewis%2BCapaldi/Lewis%2520Capaldi_1_1_1581553214.jpg?itok=9PpWeGPh
22,Billie Eilish,Billie Eilish,,
23,Black Pumas,Black Pumas,,
24,Lil Nas X,Lil Nas X,,
25,Lizzo,Lizzo,,
26,Maggie Rogers,Maggie Rogers,,
27,ROSALÍA,ROSALÍA,,
28,Tank And The Bangas,Tank And The Bangas,,
29,Yola,Yola,,
30,Spirit,Beyoncé,Beyoncé,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Beyonc%25C3%25A9%2BKnowles/Beyonc%25C3%25A9_1_1_1597674429.jpg?itok=1jKGWBfF
31,You Need To Calm Down,Taylor Swift,Taylor Swift,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Taylor%2BSwift/Taylor%2520Swift_1_1_1588259933.jpg?itok=faoR37HC
32,Boyfriend,Ariana Grande & Social House,Ariana Grande & Social House,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ariana%2BGrande/Ariana%2520Grande_1_1_1578384678.jpg?itok=Amj90j13
33,Sucker,Jonas Brothers,Jonas Brothers,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Jonas%2BBrothers/Jonas%2520Brothers_1_1_1594893817.jpg?itok=TvU3Eyx0
34,Señorita,Shawn Mendes & Camila Cabello,Shawn Mendes & Camila Cabello,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Shawn%2BMendes/Shawn%2520Mendes_1_1_1591112919.jpg?itok=Fw4joBjf
35,Look Now,Elvis Costello & The Imposters,Elvis Costello & The Imposters,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Elvis%2BCostello/Elvis%2520Costello_1_1_1594649557.jpg?itok=8w_hGvGC
36,Sì,Andrea Bocelli,Andrea Bocelli,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Andrea%2BBocelli/Andrea%2520Bocelli_1_1_1597657844.jpg?itok=n_0n8Jdw
37,Love (Deluxe Edition),Michael Bublé,Michael Bublé,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Michael%2BBubl%25C3%25A9/Michael%2520Bubl%25C3%25A9_1_1_1578385534.jpg?itok=QJp6bog2
38,A Legendary Christmas,John Legend,John Legend,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/John%2BLegend/John%2520Legend_1_1_1579170047.jpg?itok=pD4-OfrQ
39,Walls,Barbra Streisand,Barbra Streisand,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Barbra%2BStreisand/Barbra%2520Streisand_1_1_1597142976.jpg?itok=QWDCDpvy
40,The Lion King: The Gift,Beyoncé,Beyoncé,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Beyonc%25C3%25A9%2BKnowles/Beyonc%25C3%25A9_1_1_1597674429.jpg?itok=1jKGWBfF
41,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ed%2BSheeran/Ed%2520Sheeran_1_1_1594056948.jpg?itok=On8YTR-K
42,Got To Keep On,The Chemical Brothers,"The Chemical Brothers, producers; Steve Dub Jones & Tom Rowlands, mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/The%2BChemical%2BBrothers/The%2520Chemical%2520Brothers_1_1_1578387427.jpg?itok=d4bO6Tpl
43,Linked,Bonobo,"Simon Green, producer; Simon Green & Frank Merritt, mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Bonobo/Bonobo_1_1_1578387014.jpg?itok=6Xx-KaEA
44,Piece Of Your Heart,Meduza Featuring Goodboys,"Simone Giani, Luca De Gregorio & Mattia Vitale, producers; Simone Giani, Luca De Gregorio & Mattia Vitale, mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Meduza/Meduza_1_1_1581656767.jpg?itok=bUt2_QoP
45,Underwater,RÜFÜS DU SOL,"Jason Evigan & RÜFÜS DU SOL, producers; Cassian Stewart-Kasimba, mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/R%25C3%25BCf%25C3%25BCs%2BDu%2BSol/R%25C3%259CF%25C3%259CS%2520DU%2520SOL_1_1_1581551768.jpg?itok=i-NFBuVl
46,Midnight Hour,"Skrillex, Boys Noize & Ty Dolla $ign","Boys Noize & Skrillex, producers; Tom Norris & Skrillex, mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Skrillex/Skrillex_1_1_1579166214.jpg?itok=SbT7rssq
47,No Geography,The Chemical Brothers,The Chemical Brothers,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/The%2BChemical%2BBrothers/The%2520Chemical%2520Brothers_1_1_1578387427.jpg?itok=d4bO6Tpl
48,LP5,Apparat,Apparat,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Apparat/Apparat_1_1_1581551818.jpg?itok=gNn62Z-D
49,Hi This Is Flume (Mixtape),Flume,Flume,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Flume/Flume_1_1_1588264597.jpg?itok=mXrjnc4N
50,SOLACE,RÜFÜS DU SOL,RÜFÜS DU SOL,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/R%25C3%25BCf%25C3%25BCs%2BDu%2BSol/R%25C3%259CF%25C3%259CS%2520DU%2520SOL_1_1_1581551768.jpg?itok=i-NFBuVl
51,Weather,Tycho Featuring Saint Sinner,Tycho Featuring Saint Sinner,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Tycho/Tycho_1_1_1581551782.jpg?itok=e-RMC3kJ
52,Mettavolution,Rodrigo y Gabriela,Rodrigo y Gabriela,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Rodrigo%2By%2BGabriela/Rodrigo%2520y%2520Gabriela_1_1_1581371564.jpg?itok=PX2o2l1Z
53,Ancestral Recall,Christian Scott aTunde Adjuah,Christian Scott aTunde Adjuah,
54,Star People Nation,Theo Croker,Theo Croker,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Theo%2BCroker/Theo%2520Croker_1_1_1581552439.jpg?itok=a25cBe_0
55,Beat Music! Beat Music! Beat Music!,Mark Guiliana,Mark Guiliana,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Mark%2BGuiliana/Mark%2520Guiliana_1_1_1581552197.jpg?itok=pvPLu8q6
56,Elevate,Lettuce,Lettuce,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lettuce/Lettuce_1_1_1596097987.jpg?itok=YNS02Rbi
57,This Land,Gary Clark Jr.,Gary Clark Jr.,https://www.grammy.com/sites/com/files/styles/artist_circle/public/garyclarkjr-spotlight-590678766.png?itok=Wc9C6JCI
58,Pretty Waste,Bones UK,Bones UK,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Bones%2BUK/Bones%2520UK_1_1_1596098000.jpg?itok=xjHfoAEp
59,History Repeats,Brittany Howard,Brittany Howard,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Brittany%2BHoward/Brittany%2520Howard_1_1_1595867701.jpg?itok=xSAUCrab
60,Woman,Karen O & Danger Mouse,Karen O & Danger Mouse,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Karen%2BO/Karen%2520O_1_1_1578387233.jpg?itok=XVL6wq0k
61,Too Bad,Rival Sons,Rival Sons,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Rival%2BSons/RIVAL%2520SONS_1_1_1582726033.jpg?itok=jibCmcdC
62,7empest,Tool,Tool,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Tool/Tool_1_1_1578387453.jpg?itok=eRR26rxr
63,Astorolus - The Great Octopus,Candlemass Featuring Tony Iommi,Candlemass Featuring Tony Iommi,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Candlemass/Candlemass_1_1_1578384387.jpg?itok=GK6Vwtji
64,Humanicide,Death Angel,Death Angel,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Death%2BAngel/Death%2520Angel_1_1_1584526447.jpg?itok=HfSWH2xg
65,Bow Down,I Prevail,I Prevail,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/I%2BPrevail/I%2520Prevail_1_1_1594649940.jpg?itok=qc-FAOei
66,Unleashed,Killswitch Engage,Killswitch Engage,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Killswitch%2BEngage/Killswitch%2520Engage_1_1_1578387236.jpg?itok=pO-779bp
67,Fear Inoculum,"Danny Carey, Justin Chancellor, Adam Jones & Maynard James Keenan, songwriters (Tool)","Danny Carey, Justin Chancellor, Adam Jones & Maynard James Keenan, songwriters (Tool)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Maynard%2BJames%2BKeenan/Maynard%2520James%2520Keenan_1_1_1581619260.jpg?itok=TAz5w4WM
68,Give Yourself A Try,"George Daniel, Adam Hann, Matthew Healy & Ross MacDonald, songwriters (The 1975)","George Daniel, Adam Hann, Matthew Healy & Ross MacDonald, songwriters (The 1975)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Adam%2BHann/Adam%2520Hann_1_1_1581652677.jpg?itok=vc_NxDk4
69,Harmony Hall,"Ezra Koenig, songwriter (Vampire Weekend)","Ezra Koenig, songwriter (Vampire Weekend)",
70,Social Cues,Cage The Elephant,Cage The Elephant,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Cage%2BThe%2BElephant/Cage%2520The%2520Elephant_1_1_1581551756.jpg?itok=mhAGqzDZ
71,amo,Bring Me The Horizon,Bring Me The Horizon,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Bring%2BMe%2BThe%2BHorizon/Bring%2520Me%2520the%2520Horizon_1_1_1594058142.jpg?itok=rphfHH9M
72,In The End,The Cranberries,The Cranberries,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/The%2BCranberries/The%2520Cranberries_1_1_1591112980.jpg?itok=dZ8Ba825
73,Trauma,I Prevail,I Prevail,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/I%2BPrevail/I%2520Prevail_1_1_1594649940.jpg?itok=qc-FAOei
74,Feral Roots,Rival Sons,Rival Sons,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Rival%2BSons/RIVAL%2520SONS_1_1_1582726033.jpg?itok=jibCmcdC
75,U.F.O.F.,Big Thief,Big Thief,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Big%2BThief/Big%2520Thief_1_1_1588264774.jpg?itok=KuFHkAOR
76,Assume Form,James Blake,James Blake,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/James%2BBlake/James%2520Blake_1_1_1578387181.jpg?itok=WnKXIx0X
77,Anima,Thom Yorke,Thom Yorke,https://www.grammy.com/sites/com/files/styles/artist_circle/public/thom_yorke.png?itok=YO27DEeb
78,Come Home,Anderson .Paak Featuring André 3000,Anderson .Paak Featuring André 3000,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Anderson%2B.Paak/Anderson%2520.Paak_1_1_1581551893.jpg?itok=uYzYyy-g
79,Love Again,Daniel Caesar & Brandy,Daniel Caesar & Brandy,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Daniel%2BCaesar/Daniel%2520Caesar_1_1_1579536375.jpg?itok=V4d594x2
80,Could've Been,H.E.R. Featuring Bryson Tiller,H.E.R. Featuring Bryson Tiller,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/H.E.R./H.E.R._1_1_1594631035.jpg?itok=ClJe-2MN
81,Exactly How I Feel,Lizzo Featuring Gucci Mane,Lizzo Featuring Gucci Mane,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lizzo/Lizzo_1_1_1583931631.jpg?itok=Gm2FQx4s
82,Roll Some Mo,Lucky Daye,Lucky Daye,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/David%2BBrown/David%2520Brown_1_1_1597180238.jpg?itok=hsYrRs_5
83,Jerome,Lizzo,Lizzo,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lizzo/Lizzo_1_1_1583931631.jpg?itok=Gm2FQx4s
84,Time Today,BJ The Chicago Kid,BJ The Chicago Kid,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/BJ%2BThe%2BChicago%2BKid/Bj%2520THE%2520CHICAGO%2520KID_1_1_1581552431.jpg?itok=hktDvQrE
85,Steady Love,India.Arie,India.Arie,https://www.grammy.com/sites/com/files/styles/artist_circle/public/indiaarie-spotlight-107148703.png?itok=EhTaEZYR
86,Real Games,Lucky Daye,Lucky Daye,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/David%2BBrown/David%2520Brown_1_1_1597180238.jpg?itok=hsYrRs_5
87,Built For Love,PJ Morton Featuring Jazmine Sullivan,PJ Morton Featuring Jazmine Sullivan,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/PJ%2BMorton/PJ%2520Morton_1_1_1581553476.jpg?itok=jl8z_7qP
88,Say So,"PJ Morton, songwriter (PJ Morton Featuring JoJo)","PJ Morton, songwriter (PJ Morton Featuring JoJo)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/PJ%2BMorton/PJ%2520Morton_1_1_1581553476.jpg?itok=jl8z_7qP
89,Look At Me Now,"Emily King & Jeremy Most, songwriters (Emily King)","Emily King & Jeremy Most, songwriters (Emily King)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Emily%2BKing/Emily%2520King_1_1_1580223533.jpg?itok=DTv0-T6H
90,No Guidance,"Chris Brown, Tyler James Bryant, Nija Charles, Aubrey Graham, Anderson Hernandez, Joshua Huizar, Michee Patrick Lebrun, Noah Shebib & Teddy Walton, songwriters (Chris Brown Featuring Drake)","Chris Brown, Tyler James Bryant, Nija Charles, Aubrey Graham, Anderson Hernandez, Joshua Huizar, Michee Patrick Lebrun, Noah Shebib & Teddy Walton, songwriters (Chris Brown Featuring Drake)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/chrisbrown-spotlight-514044766.png?itok=xc5pU0If
91,Apollo XXI,Steve Lacy,Steve Lacy,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Steve%2BLacy-Moya/Steve%2520Lacy_1_1_1581562287.jpg?itok=ZU1p2eI5
92,Overload,Georgia Anne Muldrow,Georgia Anne Muldrow,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Georgia%2BAnne%2BMuldrow/Georgia%2520Anne%2520Muldrow_1_1_1578387142.jpg?itok=OCD276ut
93,Saturn,NAO,NAO,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/NAO/NAO_1_1_1588264640.jpg?itok=ZAWYuUz0
94,Being Human In Public,Jessie Reyez,Jessie Reyez,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Jessie%2BReyez/Jessie%2520Reyez_1_1_1584702385.jpg?itok=SkNe8sX5
95,Ventura,Anderson .Paak,Anderson .Paak,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Anderson%2B.Paak/Anderson%2520.Paak_1_1_1581551893.jpg?itok=uYzYyy-g
96,1123,BJ The Chicago Kid,BJ The Chicago Kid,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/BJ%2BThe%2BChicago%2BKid/Bj%2520THE%2520CHICAGO%2520KID_1_1_1581552431.jpg?itok=hktDvQrE
97,Painted,Lucky Daye,Lucky Daye,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/David%2BBrown/David%2520Brown_1_1_1597180238.jpg?itok=hsYrRs_5
98,Ella Mai,Ella Mai,Ella Mai,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ella%2BMai/Ella%2520Mai_1_1_1581554582.jpg?itok=535PoMSJ
99,Paul,PJ Morton,PJ Morton,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/PJ%2BMorton/PJ%2520Morton_1_1_1581553476.jpg?itok=jl8z_7qP
100,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,https://www.grammy.com/sites/com/files/styles/artist_circle/public/nispey_hussle.jpg?itok=5_wRiQ7t
101,Middle Child,J. Cole,J. Cole,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/J.%2BCole/J.%2520Cole_1_1_1597064506.jpg?itok=55BZ0_qa
102,Suge,DaBaby,DaBaby,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/DaBaby/DaBaby_1_1_1594126736.jpg?itok=Wlzj10nP
103,Down Bad,"Dreamville Featuring J.I.D, Bas, J. Cole, EARTHGANG & Young Nudy","Dreamville Featuring J.I.D, Bas, J. Cole, EARTHGANG & Young Nudy",https://www.grammy.com/sites/com/files/styles/artist_circle/public/transparent_square_34.png?itok=_tMVdLyt
104,Clout,Offset Featuring Cardi B,Offset Featuring Cardi B,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Offset/OFFSET_1_1_1591238493.jpg?itok=NxmpVG3X
105,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,DJ Khaled Featuring Nipsey Hussle & John Legend,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/DJ%2BKhaled/DJ%2520Khaled_1_1_1595859534.jpg?itok=Oy_XqCIe
106,Drip Too Hard,Lil Baby & Gunna,Lil Baby & Gunna,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lil%2BBaby/Lil%2520Baby_1_1_1594378564.jpg?itok=M_DemNOu
107,Panini,Lil Nas X,Lil Nas X,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Montero%2BLamar%2BHill/Lil%2520Nas%2520X_1_1_1581656760.jpg?itok=_YR6dOjI
108,Ballin',Mustard Featuring Roddy Ricch,Mustard Featuring Roddy Ricch,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Dijon%2BMcFarlane/Mustard_1_1_1581371394.jpg?itok=HvY72cZm
109,The London,Young Thug Featuring J. Cole & Travis Scott,Young Thug Featuring J. Cole & Travis Scott,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Jeffery%2BLamar%2BWilliams/Young%2520Thug_1_1_1581554774.jpg?itok=82TcG3yJ
110,A Lot,"Jermaine Cole, Dacoury Natche, 21 Savage & Anthony White, songwriters (21 Savage Featuring J. Cole)","Jermaine Cole, Dacoury Natche, 21 Savage & Anthony White, songwriters (21 Savage Featuring J. Cole)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/J.%2BCole/J.%2520Cole_1_1_1597064506.jpg?itok=55BZ0_qa
111,Bad Idea,"Chancelor Bennett, Cordae Dunston, Uforo Ebong & Daniel Hackett, songwriters (YBN Cordae Featuring Chance The Rapper)","Chancelor Bennett, Cordae Dunston, Uforo Ebong & Daniel Hackett, songwriters (YBN Cordae Featuring Chance The Rapper)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Chancelor%2BBennett/Chance%2520The%2520Rapper_1_1_1581551756.jpg?itok=sD2KjlWQ
112,Gold Roses,"Noel Cadastre, Aubrey Graham, Anderson Hernandez, Khristopher Riddick-Tynes, William Leonard Roberts II, Joshua Quinton Scruggs, Leon Thomas III & Ozan Yildirim, songwriters (Rick Ross Featuring Drake)","Noel Cadastre, Aubrey Graham, Anderson Hernandez, Khristopher Riddick-Tynes, William Leonard Roberts II, Joshua Quinton Scruggs, Leon Thomas III & Ozan Yildirim, songwriters (Rick Ross Featuring Drake)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Drake/Drake_1_1_1594066654.jpg?itok=SV_b8VHJ
113,Igor,"Tyler, The Creator","Tyler, The Creator",https://www.grammy.com/sites/com/files/styles/artist_circle/public/tylerthecreator-spotlight.png?itok=94E8worH
114,Revenge Of The Dreamers III,Dreamville,Dreamville,https://www.grammy.com/sites/com/files/styles/artist_circle/public/transparent_square_34.png?itok=_tMVdLyt
115,Championships,Meek Mill,Meek Mill,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Meek%2BMill/Meek%2520Mill_1_1_1578387296.jpg?itok=cL8i8u2Z
